CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
1,1627.4448,50.44683543,1,35.9,43.9,88.39,2014,0,1
1,752.029,41.94625473,0,40,38,98.48,2014,0,1
1,2226.1535,42.88812519,0,45.2,41.2,111.28,2014,0,1
1,491,47.86150713,0,37.4,27.3,92.08,2014,0,1
1,2046.2468,46.60170513,0,38.8,35.3,95.53,2014,0,1
1,2050.6265,33.63091719,0,40.1,33.9,98.73,2014,0,1
1,1727,53.03995368,1,41.5,29.2,102.17,2014,0,1
1,1756.2294,41.15785785,0,45.7,40.7,112.52,2014,0,1
1,1631.3499,47.63322081,0,35.4,37.7,87.16,2014,0,1
1,1487.087,39.00204897,0,41.1,38.5,101.19,2014,0,1
1,2959.748,41.99710246,0,39.6,40.1,97.5,2014,0,1
1,2585,37.67891683,0,40.9,34.1,100.7,2014,0,1
1,453,41.2803532,0,45.6,35,112.27,2014,0,1
1,3218.7532,56.49436248,1,37.1,32.9,91.34,2014,0,1
1,2656.122,34.62459179,0,39.4,38.9,97,2014,0,1
1,3211.1173,63.32063609,1,38.9,37,95.77,2014,0,1
1,480.0792,35.72535532,0,44.1,37.4,108.58,2014,0,1
1,2201.878,39.16332331,0,39.9,38.3,98.24,2014,0,1
1,3716.42,68.83620527,1,37.4,24.1,92.08,2014,0,1
1,1729.4816,37.41544287,0,43.4,41.7,106.85,2014,0,1
1,2206,55.62103354,1,38.1,43.2,93.8,2014,0,1
1,487,70.02053388,1,30.9,35.8,76.08,2014,0,1
1,3372,68.92052195,1,32.3,29,79.52,2014,0,1
1,552.056,46.08242642,0,44.1,39.8,108.58,2014,0,1
1,3151.5804,57.14069043,1,37.2,31.9,91.59,2014,0,1
1,4150,79.39759036,1,38.3,34.8,94.3,2014,0,1
1,1358.0198,36.97031516,0,37.2,42.4,91.59,2014,0,1
1,3009,67.76337654,1,37.2,31,91.59,2014,0,1
1,1004.3622,56.79782652,1,34.4,38.6,84.69,2014,0,1
1,2592.3838,64.15146168,1,44.9,41.7,110.55,2014,0,1
1,1778.3349,49.60358704,0,41,38.9,100.94,2014,0,1
1,2437.184,66.9040294,1,34.2,41.6,84.2,2014,0,1
1,2136,50.2340824,1,42.7,44.3,105.13,2014,0,1
1,1377.499,44.44403952,0,41.3,46.8,101.68,2014,0,1
